Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 3, Mem 36	-76.105873	-75.552986	9.843863	-4.461885	-5.934860	0.000000	Cc1cc(cc(c1N)C)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 12	-76.042816	-80.230392	8.431787	-2.754128	-1.490086	0.000000	Cc1cc(cc2c1C(CN2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 15, Mem 2	-76.025902	-77.842171	9.269409	-2.962662	-4.490477	0.000000	CNc1cc(cn2c1[nH+]cc2)C(Cc3ccc(c(c3)O)OC)O
Clu 2, Mem 5	-76.013916	-86.246719	10.651784	-0.418261	-0.000714	0.000000	CCNc1c(cc(cc1Cl)C(Cc2ccc(c(c2)O)OC)O)Cl
Head 83, Size=1	-75.970459	-71.213875	10.666106	-6.595522	-8.827173	0.000000	CC(C)C(C)Nc1c(cc(cc1F)C(Cc2ccc(c(c2)O)OC)O)O
Clu 0, Mem 56	-75.947487	-87.384987	16.493095	-1.313402	-3.742183	0.000000	C[NH2+]Cc1cc(cc(c1O)C[NH3+])C(Cc2ccc(c(c2)O)OC)O
Clu 4, Mem 2	-75.928513	-77.499336	13.222193	-3.337833	-8.313539	0.000000	Cc1c(cc(c(c1Cl)O)NC=O)C(Cc2ccc(c(c2)O)OC)O
Clu 60, Mem 5	-75.908569	-71.552765	18.428368	-6.724432	-16.059734	0.000000	CC(=O)Nc1c(cc(s1)C(Cc2ccc(c(c2)O)OC)O)C(=O)N
Clu 58, Mem 4	-75.902031	-91.249420	16.831352	-0.483883	-1.000077	0.000000	COc1ccc(cc1O)CC(c2ccc(c(c2)NC=O)NC=O)O
Clu 53, Mem 16	-75.898003	-83.870041	16.363468	-6.920484	-1.470943	0.000000	Cc1c(cc(c(c1NC=O)O)OC)C(Cc2ccc(c(c2)O)OC)O
Clu 0, Mem 17	-75.868408	-67.474319	21.667896	-15.169266	-14.892720	0.000000	CNc1c(c(cc(n1)C(Cc2ccc(c(c2)O)OC)O)CO)C(=O)N
Clu 56, Mem 8	-75.858658	-80.170578	12.517498	-3.176921	-5.028651	0.000000	CCNc1c(cc(cc1Cl)C(Cc2ccc(c(c2)O)OC)O)C(=O)OC
Clu 55, Mem 5	-75.846786	-83.505241	14.839583	-0.797122	-6.384002	0.000000	CC(C)c1cc(cc(c1O)NC=O)C(Cc2ccc(c(c2)O)OC)O
Clu 63, Mem 4	-75.817360	-77.144653	13.182267	-7.099986	-4.754985	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2Cl)Cl)O)C(=O)N)O
Clu 40, Mem 8	-75.797089	-80.181778	12.046133	-5.300519	-2.360934	0.000000	C[NH2+]C1CCNc2c1cc(cc2Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 0, Mem 4	-75.782661	-88.751778	21.602810	-3.468492	-5.165214	0.000000	CNc1cc(cc(c1NC=O)C(=O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 0, Mem 66	-75.772675	-92.031082	17.613607	-0.404582	-0.950642	0.000000	CCNc1c(c(nc(n1)C(Cc2ccc(c(c2)O)OC)O)SC)N
Clu 46, Mem 28	-75.772575	-76.124886	8.976765	-5.388874	-3.235585	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)Cl)O)C=C)O
Clu 3, Mem 71	-75.763535	-76.948837	14.095692	-10.024011	-2.886375	0.000000	Cc1c(cc(cc1O)C(Cc2ccc(c(c2)O)OC)O)C(=O)N
Clu 14, Mem 4	-75.761444	-87.294899	14.517286	-0.554086	-2.429744	0.000000	COc1ccc(cc1O)CC(c2cc(c(c3c2C[NH2+]C3)O)O)O
Clu 48, Mem 18	-75.744385	-87.622383	12.808762	-0.930522	-0.000247	0.000000	Cc1c(c(c(c(c1C(Cc2ccc(c(c2)O)OC)O)C)C)NC=O)C
Clu 56, Mem 9	-75.742737	-86.561691	17.217699	-2.629604	-3.769150	0.000000	Cc1cc(cc(c1NC=O)C(=O)NC)C(Cc2ccc(c(c2)O)OC)O
Clu 68, Mem 11	-75.736603	-88.047379	16.221479	-0.401138	-3.509565	0.000000	CCC(=O)Nc1cc(cc(c1O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 48, Mem 17	-75.732254	-79.261108	11.279243	-5.658506	-2.091879	0.000000	CCOc1c(cc(cc1O)C(Cc2ccc(c(c2)O)OC)O)O
Clu 7, Mem 13	-75.727493	-85.754982	13.104970	-3.058751	-0.018729	0.000000	CCNc1cc(ccc1NC(=O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 27, Mem 2	-75.723198	-77.466194	9.401487	-1.923625	-5.734870	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)c(cc[nH+]3)N)O
Clu 3, Mem 28	-75.716240	-75.822678	15.304541	-4.040858	-11.157240	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)O)N)C(=O)N)O
Head 50, Size=32	-75.714752	-83.856995	10.528383	-1.654549	-0.731593	0.000000	Cc1c(cc(cc1O)O)C(Cc2ccc(c(c2)O)OC)O
Clu 46, Mem 31	-75.712311	-83.124268	11.347647	-2.209258	-1.726433	0.000000	Cc1c(nc(nc1NC)C(Cc2ccc(c(c2)O)OC)O)C
Clu 3, Mem 2	-75.709496	-88.453606	14.083944	-0.826800	-0.513045	0.000000	CNc1ccc(cc1NC=O)C(Cc2ccc(c(c2)O)OC)O
Clu 30, Mem 3	-75.701866	-85.070984	10.058804	-0.668240	-0.021442	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)[nH]c[nH+]3)O
Clu 0, Mem 87	-75.697754	-84.930161	14.640699	-3.500958	-1.907333	0.000000	CCc1cc(cc(c1O)C(=O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 9	-75.683571	-73.556068	10.419518	-2.145901	-10.401105	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)Cl)NCC3)O
Clu 51, Mem 10	-75.664619	-81.398636	14.865700	-6.581244	-2.550442	0.000000	Cc1c(ccc(c1NC)C(=O)N)C(Cc2ccc(c(c2)O)OC)O
Clu 0, Mem 74	-75.651138	-87.296951	14.155073	-0.655258	-1.853991	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)OC)Cl)NC=O)O
Clu 79, Mem 7	-75.650528	-85.382935	12.361524	-1.609476	-1.019639	0.000000	Cc1c(cc(c(c1N)C(C)(C)C)N)C(Cc2ccc(c(c2)O)OC)O
Clu 59, Mem 11	-75.638062	-85.793999	11.406727	-0.500379	-0.750409	0.000000	COc1ccc(cc1O)CC(c2ccc(c(c2)NC=O)Cl)O
Clu 0, Mem 23	-75.617538	-73.872955	13.516796	-8.511266	-6.750118	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)CO)O)CO)O
Clu 0, Mem 49	-75.565453	-95.022987	21.021387	-0.742034	-0.821821	0.000000	CCNc1c(c(nc(n1)C(Cc2ccc(c(c2)O)OC)O)SC)NC=O
Clu 12, Mem 22	-75.560287	-85.598808	10.123884	-0.081824	-0.003546	0.000000	Cc1cc(cc2c1CCN2)C(Cc3ccc(c(c3)O)OC)O
